,Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,ID,Intensity Median
0,133.388,-7.388730000000001,35.4863,0,153.016
1,127.57799999999999,-4.28532,34.2881,1,292.04
2,108.24,-1.23244,34.8846,2,95.0
3,116.87200000000001,1.9283099999999997,33.7541,3,300.972
4,121.72200000000001,-1.29057,34.0188,4,159.004
5,88.5606,3.30821,35.4228,5,48.008
6,95.0985,2.55781,35.3354,6,61.992
7,101.541,-4.3819,34.8561,7,47.0
8,107.53,-4.21727,34.4673,8,97.544
9,112.195,-7.189439999999999,34.3375,9,175.04
10,125.12200000000001,-1.16866,32.5694,10,201.048
11,121.34700000000001,-7.867369999999999,33.6393,11,181.488
12,127.57,-8.935,32.8812,12,229.984
13,73.4467,7.8817699999999995,35.5285,13,108.016
14,80.6113,9.47617,34.6368,14,125.03200000000001
15,70.3096,2.23251,36.3666,15,91.03200000000001
16,66.6704,-1.76785,36.7191,16,145.976
17,89.7037,10.9109,33.4355,17,46.012
18,87.6199,9.28368,33.9334,18,70.02
19,94.2753,11.9538,33.3943,19,61.032
20,76.0006,0.424645,36.3091,20,70.992
21,81.9036,1.3755600000000001,35.7484,21,48.008
22,100.073,9.27989,32.7638,22,147.984
23,100.2,2.81515,33.8444,23,165.032
24,88.8224,-4.24889,35.0729,24,51.016000000000005
25,110.411,7.109660000000001,32.5799,25,317.98400000000004
26,113.89399999999999,6.794739999999999,31.609,26,350.96
27,96.1923,-4.1146400000000005,34.9214,27,22.991999999999997
28,119.648,8.04167,31.247,28,245.50799999999998
29,122.73100000000001,7.007910000000001,31.1202,29,245.05
30,116.31200000000001,-4.49141,32.3386,30,407.52
31,124.99700000000001,-9.48674,32.8012,31,132.50799999999998
32,133.005,-13.4362,31.9772,32,135.00799999999998
33,65.8668,8.9,34.9898,33,278.084
34,60.1474,1.77845,36.3126,34,345.52
35,72.5676,-4.57252,35.7887,35,68.992
36,78.6586,-5.21242,34.9747,36,82.992
37,111.514,0.388135,31.744,37,445.024
38,75.0713,13.8611,32.9246,38,175.06400000000002
39,85.4371,14.3123,31.6837,39,96.016
40,57.2268,-3.2359400000000003,35.9629,40,255.024
41,105.459,1.53827,30.9132,41,225.52
42,105.12,-12.394,32.1669,42,82.5
43,121.902,-13.5087,31.3019,43,53.995
44,127.885,-14.5031,30.9857,44,176.03400000000002
45,80.4602,15.6095,30.9475,45,205.92
46,62.1462,-8.236310000000001,35.4449,46,86.96
47,106.29799999999999,15.047,28.581999999999997,47,230.48
48,99.0603,7.85095,30.4085,48,295.04
49,107.209,9.179889999999999,29.4681,49,567.504
50,82.54299999999999,-9.093169999999999,33.2026,50,90.02
51,89.9867,-8.588510000000001,32.6157,51,57.972
52,96.4855,-10.7433,32.0725,52,21.991999999999997
53,117.684,1.19064,29.1747,53,439.11800000000005
54,110.958,-7.67307,30.2955,54,488.6
55,128.221,-0.766646,27.9892,55,561.52
56,64.4405,11.3024,32.092,56,500.08
57,61.5542,7.26527,32.9651,57,651.568
58,51.5394,-3.91336,34.8273,58,291.032
59,92.6287,17.7538,28.7894,59,124.936
60,99.6456,16.9918,28.1099,60,179.49200000000002
61,113.79700000000001,15.6434,27.2015,61,169.016
62,94.656,3.92499,29.7574,62,302.52
63,74.0413,-10.8933,33.1222,63,93.012
64,113.13600000000001,11.5657,27.7967,64,388.01199999999994
65,129.325,-7.66328,28.116,65,534.474
66,58.1949,10.2443,31.7278,66,307.04
67,66.8055,15.3852,30.3656,67,378.96
68,71.3532,13.7518,30.5685,68,464.16
69,56.5184,0.796304,32.7348,69,549.04
70,67.0799,6.84473,31.5535,70,713.0219999999999
71,64.5258,1.6743,32.3358,71,811.08
72,55.4084,-11.1717,34.2993,72,172.93
73,61.7591,-12.1289,33.6522,73,74.976
74,67.1677,-11.7177,33.4899,74,71.016
75,120.515,11.8353,26.1877,75,378.04
76,103.62799999999999,-3.42579,29.0085,76,255.456
